SampleID	OTUid	TaxMethod	AlignScore	BOLDid	kingdom_name	phylum_name	class_name	order_name	family_name	genus_name	species_name	CountReads	BOLDalt	DateSampled	BirdSpecies
OahuBird.304	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	390	BOLD:ACL8650	7/16/03	JAWE
OahuBird.304	OTU751_suspect_mock_chimera	US	0.9934	BOLD:ACW9019.1	Animalia	Arthropoda	Arachnida	Sarcoptiformes	NA	NA	NA	575	BOLD:ACW9019	7/16/03	JAWE
OahuBird.307	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	58	BOLD:ACQ6990	3/20/03	JAWE
OahuBird.307	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	594	BOLD:ACL8650	3/20/03	JAWE
OahuBird.308	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	60	BOLD:ACQ6990	4/2/03	RBLE
OahuBird.308	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	648	BOLD:ACL8650	4/2/03	RBLE
OahuBird.309	OTU1119	SS	0.98	BOLD:AAL8261.3	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	166	BOLD:AAL8261	7/14/03	RBLE
OahuBird.309	OTU127_suspect_mock_chimera	GS	100	BOLD:ACQ6990.1	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Chironomus	NA	101	BOLD:ACQ6990	7/14/03	RBLE
OahuBird.309	OTU209_suspect_mock_chimera	GS	100	BOLD:ACU1373.1	Animalia	Arthropoda	Insecta	Coleoptera	Psephenidae	Ectopria	Ectopria thoracica	65	BOLD:ACU1373	7/14/03	RBLE
OahuBird.309	OTU329_suspect_mock_chimera	SS	1	BOLD:ACY7262.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	143	BOLD:ACY7262	7/14/03	RBLE
OahuBird.309	OTU356_suspect_mock_chimera	SS	1	BOLD:AAH6099.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	135	BOLD:AAH6099	7/14/03	RBLE
OahuBird.309	OTU449_suspect_mock_chimera	GS	98.3	BOLD:AAL7626.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	334	BOLD:AAL7626	7/14/03	RBLE
OahuBird.309	OTU524_suspect_mock_chimera	US	0.9249	BOLD:AAO4373.1	Animalia	Arthropoda	Arachnida	Araneae	NA	NA	NA	93	BOLD:AAO4373	7/14/03	RBLE
OahuBird.309	OTU60_suspect_mock_chimera	SS	1	BOLD:AAA0831.1	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	209	BOLD:AAA0831	7/14/03	RBLE
OahuBird.309	OTU62_suspect_mock_chimera	GS	99.4	BOLD:ACL8650.5	Animalia	Arthropoda	Insecta	Diptera	Limoniidae	Epiphragma	Epiphragma fasciapenne	780	BOLD:ACL8650	7/14/03	RBLE
