,BOLDalt,n,TotalCounts
242,BOLD:AAK8298,35,5275
243,BOLD:AAK8834,48,7695
244,BOLD:AAL2743,51,21441
245,BOLD:AAL6280,2,296
246,BOLD:AAL6477,2,123
247,BOLD:AAL7322,29,6599
248,BOLD:AAL7626,3,1682
249,BOLD:AAL9551,6,934
250,BOLD:AAM6098,4,289
251,BOLD:AAM6227,5,473
252,BOLD:AAM7567,50,7318
253,BOLD:AAN2528,2,1233
254,BOLD:AAN5165,14,2259
255,BOLD:AAN5406,14,1258
256,BOLD:AAN5878,1,63
257,BOLD:AAN5879,85,15974
258,BOLD:AAN5882,44,30870
259,BOLD:AAN6371,2,212
260,BOLD:AAO2062,27,3391
261,BOLD:AAO3941,108,31215
262,BOLD:AAO3944,53,9059
263,BOLD:AAO4373,98,621583
264,BOLD:AAO8154,8,788
265,BOLD:AAO8357,59,14868
266,BOLD:AAP0959,2,258
267,BOLD:AAP1210,18,3302
268,BOLD:AAP2868,6,482
269,BOLD:AAP3639,1,57
270,BOLD:AAP5337,3,405
271,BOLD:AAP6367,83,47069
272,BOLD:AAP6551,27,12991
273,BOLD:AAP8635,9,941
274,BOLD:AAR3859,6,466
275,BOLD:AAR7014,12,1338
276,BOLD:AAR9607,100,21082
277,BOLD:AAU6544,28,6631
278,BOLD:AAU6627,15,1073
279,BOLD:AAU7327,9,991
280,BOLD:AAU8770,3,537
281,BOLD:AAV0590,10,1212
282,BOLD:AAV0705,2,14668
283,BOLD:AAV0892,30,4361
284,BOLD:AAV1814,15,1524
285,BOLD:AAV3043,20,240587
286,BOLD:AAV4240,2,5954
287,BOLD:AAW0416,3,576
288,BOLD:AAW0548,8,586
289,BOLD:AAW6052,35,39840
290,BOLD:AAX9373,7,1720
291,BOLD:AAY1130,4,331
292,BOLD:AAY4866,5,490
293,BOLD:AAY5064,9,894
294,BOLD:AAY6680,2,179
295,BOLD:AAY7944,2,166
296,BOLD:AAY8886,17,3114
297,BOLD:AAY9592,1,63
298,BOLD:AAY9741,1,70
299,BOLD:AAZ0177,10,799
300,BOLD:AAZ4741,1,983
301,BOLD:AAZ5297,2,6760
302,BOLD:AAZ5969,3,193
303,BOLD:ABA1219,5,458
304,BOLD:ABA1594,12,3097
305,BOLD:ABA3533,1,54
306,BOLD:ABA3539,2,112
307,BOLD:ABA5202,7,687
308,BOLD:ABA5203,30,4553
309,BOLD:ABA5862,9,244744
310,BOLD:ABA6163,7,47198
311,BOLD:ABA6948,2,506
312,BOLD:ABA8393,28,10345
313,BOLD:ABA8837,13,1069
314,BOLD:ABU6610,1,73
315,BOLD:ABU8638,1,53
316,BOLD:ABV0257,2,152
317,BOLD:ABV4420,1,146013
318,BOLD:ABV9305,2,129
319,BOLD:ABW0392,90,56318
320,BOLD:ABW2812,18,1726
321,BOLD:ABW4424,29,3418
322,BOLD:ABW5165,1,85
323,BOLD:ABW5810,36,7429
324,BOLD:ABW6191,11,1130
325,BOLD:ABW6304,46,7556
326,BOLD:ABW8631,41,6358
327,BOLD:ABW8929,20,22985
328,BOLD:ABX0925,3,200
329,BOLD:ABX3627,42,19917
330,BOLD:ABX3975,1,54
331,BOLD:ABX5931,9,763
332,BOLD:ABX6286,1,74
333,BOLD:ABX6298,13,2164
334,BOLD:ABX6346,2,127
335,BOLD:ABY5163,4,112800
336,BOLD:ABY5257,8,659
337,BOLD:ABY6336,4,370
338,BOLD:ABY6648,26,3432
339,BOLD:ABY6840,30,10363
340,BOLD:ABY7602,24,4894
341,BOLD:ABY8347,67,19619
342,BOLD:ABZ6275,35,3737
343,BOLD:ABZ7368,3,64946
344,BOLD:ABZ7432,14,1161
345,BOLD:ACA0434,1,110
346,BOLD:ACA3244,1,648
347,BOLD:ACA3913,16,1576
348,BOLD:ACA6491,1,59
349,BOLD:ACA7553,2,135
350,BOLD:ACA9619,24,4882
351,BOLD:ACA9904,111,39901
352,BOLD:ACB0302,21,3822
353,BOLD:ACB0856,131,25296
354,BOLD:ACB1622,7,6336
355,BOLD:ACB1646,5,326
356,BOLD:ACB2928,6,1308
357,BOLD:ACC7701,12,1063
358,BOLD:ACD0295,14,1633
359,BOLD:ACD9137,43,6510
360,BOLD:ACE2171,16,2010
361,BOLD:ACE2850,12,918
362,BOLD:ACE3398,1,56
363,BOLD:ACE3549,3,547
364,BOLD:ACE4172,1,51
365,BOLD:ACE4734,3,275
366,BOLD:ACE4783,1,74
367,BOLD:ACE5262,28,3125
368,BOLD:ACE5505,8,663
369,BOLD:ACE6730,2,260
370,BOLD:ACE7158,1,55
371,BOLD:ACE7334,12,1076
372,BOLD:ACE7868,9,662
373,BOLD:ACF0083,1,66
374,BOLD:ACF5230,1,57
375,BOLD:ACF5863,1,148
376,BOLD:ACF7919,1,72
377,BOLD:ACG3125,5,426
378,BOLD:ACG4989,2,161
379,BOLD:ACG6340,80,57513
380,BOLD:ACG7223,23,4555
381,BOLD:ACG8810,2,172
382,BOLD:ACH2794,1,75
383,BOLD:ACI4066,1,52
384,BOLD:ACI7207,29,3129
385,BOLD:ACI9925,5,478
386,BOLD:ACJ2489,18,1754
387,BOLD:ACJ4530,2,182
388,BOLD:ACJ6638,4,227
389,BOLD:ACJ8629,63,11270
390,BOLD:ACJ9021,4,389
391,BOLD:ACK3802,1,82
392,BOLD:ACK5209,3,672
393,BOLD:ACK5507,6,619
394,BOLD:ACK5957,18,3002
395,BOLD:ACL2631,6,678
396,BOLD:ACL3444,15,2623
397,BOLD:ACL5711,2,123
398,BOLD:ACL5844,4,369
399,BOLD:ACL8561,13,1435
400,BOLD:ACL8650,24,53808
401,BOLD:ACM3626,5,404
402,BOLD:ACM5017,8,675
403,BOLD:ACM5079,21,4328
404,BOLD:ACM8090,1,146
405,BOLD:ACN3115,7,816
406,BOLD:ACN3922,30,3285
407,BOLD:ACN4193,30,10675
408,BOLD:ACN5872,2,1621
409,BOLD:ACN7361,1,60
410,BOLD:ACN7933,6,661
411,BOLD:ACO0054,2,158
412,BOLD:ACO0955,2,227
413,BOLD:ACO2872,1,57
414,BOLD:ACO4682,11,1119
415,BOLD:ACO6860,25,7358
416,BOLD:ACP5902,10,557098
417,BOLD:ACQ2060,1,56
418,BOLD:ACQ6990,64,15214
419,BOLD:ACT1705,1,224
420,BOLD:ACT4876,1,64
421,BOLD:ACT6925,16,1609
422,BOLD:ACT8457,3,228
423,BOLD:ACU4209,1,64
424,BOLD:ACU9738,11,1141
425,BOLD:ACV1559,1,58
426,BOLD:ACV1904,1,51
427,BOLD:ACV2101,4,268
428,BOLD:ACW3302,21,3239
429,BOLD:ACW3762,3,192
430,BOLD:ACW7851,5,672
431,BOLD:ACX2014,2,152
432,BOLD:ACX3924,6,467
433,BOLD:ACX4440,3,303
434,BOLD:ACX5108,55,5831
435,BOLD:ACX5730,7,569
436,BOLD:ACX7675,31,5362
437,BOLD:ACX7798,9,1190
438,BOLD:ACY0966,1,61
439,BOLD:ACY9995,3,424
440,BOLD:ADC3363,16,1729
441,BOLD:ADD8866,1,165
442,BOLD:ADF1216,9,16699
443,BOLD:ADH6147,7,650
444,BOLD:ADH6740,1,58
