#OTU ID	mock.IM4p11.2	pomp.4584	pomp.4585	pomp.4586	pomp.4587	pomp.4588	pomp.4589	pomp.4590	pomp.4591	pomp.4594	pomp.4595	pomp.4596	pomp.4597	pomp.4598	pomp.4599	pomp.4601	pomp.4602	pomp.4603	pomp.4604	pomp.4605	pomp.4606	pomp.4607	pomp.4608	pomp.4609	pomp.4610	pomp.4611	pomp.4612	pomp.4613	pomp.4614	pomp.4615	pomp.4616	pomp.4617	pomp.4618	pomp.4619	pomp.4620	pomp.4621	pomp.4622	pomp.4623	pomp.4624	pomp.4625	pomp.4626	pomp.4627	pomp.4628	pomp.4629	pomp.4630	pomp.4631	pomp.4632	pomp.4633	pomp.4634	pomp.4635	pomp.4636	pomp.4637	pomp.4638	pomp.4639	pomp.4640	pomp.4641	pomp.4642	pomp.4643	pomp.4644	pomp.4645	pomp.4646	pomp.4647	pomp.4648	pomp.4649	pomp.4650	pomp.4651	pomp.4652	pomp.4653	pomp.4654	pomp.4655	pomp.4656	pomp.4657	pomp.4659	pomp.4660	pomp.4661	pomp.4662	pomp.4663	pomp.4664	pomp.4665	pomp.4666	pomp.4667	pomp.4668	pomp.4669	pomp.4670	pomp.4671	pomp.4672	pomp.4673	pomp.4674	pomp.4675	pomp.4676	pomp.4677	pomp.4678	pomp.4679	pomp.4680	pomp.4681	pomp.4682	pomp.4683	pomp.4684	pomp.4685	pomp.NTCa01	pomp.NTCb02	pomp.NTCc03	pomp.NTCd04	Taxonomy
MockIM49_pident=100.0_OTU125	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Hit
MockIM52_pident=100.0_OTU84	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	81	4	18	42	0	0	0	0	0	0	0	150	105	0	0	88	0	0	33	0	0	0	0	0	0	37	0	300	103	0	0	55	0	0	312	0	0	37	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	62	84	0	0	0	221	0	0	48	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	GS|99.4|BOLD:ABW5589.1;k:Animalia,p:Arthropoda,c:Insecta,o:Orthoptera,f:Tettigoniidae
MockIM53_pident=100.0_OTU74	1040	0	0	0	19	0	0	535	0	0	0	0	0	0	0	0	0	0	0	139	0	0	112	0	0	0	0	0	0	0	4	0	0	0	10	36	0	0	19	2	0	0	0	0	0	0	200	125	94	0	0	0	0	7	0	0	75	0	0	19	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	GS|100.0|BOLD:AAA4507.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Crambidae,g:Udea,s:Udea rubigalis
OTU1_suspect_mock_chimera	0	0	2408	0	0	7	0	0	0	1233	0	0	0	0	0	0	205490	0	230	0	612	0	0	0	0	0	0	0	4986	0	0	0	0	0	0	0	0	0	0	167	0	66	0	0	1094	390	9357	0	0	1292	3416	9514	0	0	0	0	0	0	0	0	5136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	31	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAB9410.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Tortricidae,g:Acleris,s:Acleris semipurpurana
OTU2	0	0	0	109721	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	0	5	13	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Hit
OTU3_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105064	0	0	0	0	0	0	0	0	0	0	0	0	No Hit
OTU4_suspect_mock_chimera	1	1	16	450	0	0	57	0	4	0	0	0	0	2	0	16	0	1034	3987	14	43	26	31	0	1	0	0	0	0	86277	0	0	0	0	0	0	0	0	0	0	1	1	0	591	0	0	9	14	12	0	1	2	0	28	26	0	6	0	0	18	0	0	0	0	0	0	1	0	0	0	31	0	5	1	0	1	0	2	1	0	0	0	1	0	0	0	8	0	0	2	0	1	0	0	23	1	42	0	814	0	0	0	0	GS|100.0|BOLD:AAC2637.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Pterophoridae,g:Geina,s:Geina sheppardi
OTU5_suspect_mock_chimera	0	0	0	0	1	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	84691	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	No Hit
OTU6_suspect_mock_variant	1	0	0	3	0	3	0	0	7	2	1	1	0	5	0	599	1	1	1	1	69344	33	8	1	1	29	22	17	12	12	0	5	5	1	0	0	0	0	3	126	4	0	0	0	1	16	12	8	14	1	0	0	0	6	3	0	4	0	1	5	0	0	2066	20	0	12	0	23	31	17	0	0	14	0	0	3	0	2	0	57	0	1	0	0	1	0	0	0	0	2	0	1	1	0	0	0	1	118929	0	0	0	0	0	GS|100.0|BOLD:AAA2868.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Erebidae,g:Chytolita,s:Chytolita morbidalis
OTU7_suspect_mock_chimera	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	71511	0	7	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	No Hit
