#OTU ID	rut16-1382	rut16-1383	rut16-1384	rut16-1385	rut16-1386	rut16-1387	rut16-1388	rut16-1389	rut16-1390	rut16-1391	rut16-1392	rut16-1393	rut16-1394	rut16-1395	rut16-1396	rut16-1397	rut16-1398	rut16-1399	rut16-1400	rut16-1401	rut16-1402	rut16-1403	rut16-1404	rut16-1405	rut16-1406	rut16-1407	rut16-1408	rut16-1409	rut16-1410	rut16-1411	rut16-1412	rut16-1413	rut16-1414	rut16-1415	rut16-1416	rut16-1417	rut16-1418	rut16-1419	rut16-1420	rut16-1421	rut16-1422	rut16-1423	rut16-1424	rut16-1425	rut16-1426	rut16-1427	rut16-1428	rut16-1429	rut16-1430	rut16-1431	rut16-1432	rut16-1433	rut16-1434	rut16-1435	rut16-1436	rut16-1437	rut16-1438	rut16-1439	rut16-1440	rut16-1441	rut16-1442	rut16-1443	rut16-1444	rut16-1445	rut16-1446	rut16-1447	rut16-1448	rut16-1449	rut16-1450	rut16-1451	rut16-1452	rut16-1453	rut16-1454	rut16-1455	rut16-1456	rut16-1457	rut16-1458	rut16-1459	rut16-1460	rut16-1461	rut16-1462	rut16-1463	rut16-1464	rut16-1465	rut16-1466	rut16-1467	rut16-1468	rut16-1469	rut16-1470	rut16-1471	rut16-1472	rut16-1473	rut16-1474	rut16-1475	rut16-1476	rut16-1477	rut16-1478	rut16-1479	rut16-1480	rut16-negA12	rut16-negB12	rut16-negC12	rut16-negD12	rut16-negG07	Taxonomy
MockIM44_pident=100.0_OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	GS|100.0|BOLD:AAG3920.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Chironomidae,g:Procladius
MockIM46_pident=100.0_OTU17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAH6828.3;k:Animalia,p:Arthropoda,c:Insecta,o:Coleoptera,f:Scarabaeidae,g:Euphoria,s:Euphoria fulgida
MockIM47_pident=99.4_OTU24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	GS|99.4|BOLD:AAG2717.1;k:Animalia,p:Arthropoda,c:Insecta,o:Orthoptera,f:Tettigoniidae,g:Scudderia,s:Scudderia curvicauda
MockIM49_pident=100.0_OTU32	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	GS|100.0|BOLD:AAD2182.1;k:Animalia,p:Arthropoda,c:Insecta,o:Blattodea,f:Ectobiidae,g:Supella,s:Supella longipalpa
MockIM53_pident=100.0_OTU21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAA4507.1;k:Animalia,p:Arthropoda,c:Insecta,o:Lepidoptera,f:Crambidae,g:Udea,s:Udea rubigalis
OTU1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9885|BOLD:ABA1594.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera
OTU2	1	0	0	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAC4559.1;k:Animalia,p:Arthropoda,c:Insecta,o:Ephemeroptera,f:Heptageniidae,g:Maccaffertium,s:Maccaffertium mediopunctatum
OTU3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|100.0|BOLD:AAG7013.2;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Limoniidae
OTU4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|1.0000|None;k:Animalia,p:Arthropoda,c:Hexanauplia,o:Harpacticoida
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	US|0.9963|BOLD:ABW8929.1;k:Animalia,p:Arthropoda,c:Maxillopoda,o:Cyclopoida
OTU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.4|BOLD:AAF9035.1;k:Animalia,p:Arthropoda,c:Insecta,o:Diptera,f:Tipulidae,g:Nephrotoma,s:Nephrotoma alterna
