SampleID,OTUid,TaxMethod,AlignScore,BOLDid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,CountReads,BOLDalt,Species,AgeClass,Sex,Date,NestBox,uneID,Sequenced,onclick
une-31,OTU338,US,1,None,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,54,None,TRSW,adult,F,42887,soccer_1,31,Y,no_link_available
une-31,OTU339_suspect_mock_chimera,GS,100,BOLD:ACD9559.3,Animalia,Arthropoda,Insecta,Diptera,Psychodidae,NA,NA,221,BOLD:ACD9559,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACD9559
une-31,OTU341,GS,99.4,BOLD:AAA7272.5,Animalia,Arthropoda,Arachnida,Araneae,Dictynidae,Emblyna,Emblyna sublata,209,BOLD:AAA7272,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA7272
une-31,OTU343_suspect_mock_chimera,US,0.9934,BOLD:AAB4365.2,Animalia,Arthropoda,Insecta,Lepidoptera,NA,NA,NA,236,BOLD:AAB4365,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAB4365
une-31,OTU344_suspect_mock_chimera,GS,99.4,BOLD:ACM5017.1,Animalia,Arthropoda,Insecta,Diptera,Trichoceridae,NA,NA,189,BOLD:ACM5017,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ACM5017
une-31,OTU345_suspect_mock_variant,GS,100,BOLD:AAA2955.2,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Argyrotaenia,Argyrotaenia ljungiana,213,BOLD:AAA2955,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAA2955
une-31,OTU349_suspect_mock_chimera,GS,100,BOLD:AAJ2208.1,Animalia,Arthropoda,Insecta,Diptera,Limoniidae,Limonia,Limonia immatura,224,BOLD:AAJ2208,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAJ2208
une-31,OTU350_suspect_mock_chimera,GS,100,BOLD:AAP6551.1,Animalia,Arthropoda,Insecta,Coleoptera,NA,NA,NA,184,BOLD:AAP6551,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAP6551
une-31,OTU352_suspect_mock_chimera,GS,100,BOLD:AAG8977.1,Animalia,Arthropoda,Insecta,Hemiptera,Derbidae,Apache,Apache degeerii,167,BOLD:AAG8977,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:AAG8977
une-31,OTU353_suspect_mock_chimera,GS,100,BOLD:ABA6948.3,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Eoparargyractis,Eoparargyractis plevie,129,BOLD:ABA6948,TRSW,adult,F,42887,soccer_1,31,Y,http://v4.boldsystems.org/index.php/Public_BarcodeCluster?clusteruri=BOLD:ABA6948
