BatSpecies,Site,ArthropodFamily,RelativeCounts,TotalCounts,percent_taxa
PTPA,ESCAMAQUITA,Depressariidae,2,40,5
PTPA,ESCAMAQUITA,Erebidae,5,40,12.5
PTPA,ESCAMAQUITA,Euteliidae,5,40,12.5
PTPA,ESCAMAQUITA,Gelechiidae,2,40,5
PTPA,ESCAMAQUITA,Geometridae,1,40,2.5
PTPA,ESCAMAQUITA,Noctuidae,2,40,5
PTPA,ESCAMAQUITA,Sphingidae,5,40,12.5
PTPA,ESCAMAQUITA,Tineidae,10,40,25
PTPA,ESCAMAQUITA,Tortricidae,1,40,2.5
PTPA,ESCAMAQUITA,unknown,6,40,15
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Cosmopterigidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Crambidae,3,44,6.81818181818182
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Culicidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Erebidae,7,44,15.9090909090909
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Gelechiidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Geometridae,2,44,4.54545454545455
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Limacodidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Limoniidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Noctuidae,4,44,9.09090909090909
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Scarabaeidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Stratiomyidae,1,44,2.27272727272727
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,Tineidae,9,44,20.4545454545455
PTPA,ESCAMECCA_GRANDE_HOT_SPRINGS,unknown,12,44,27.2727272727273
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Blastobasidae,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Chironomidae,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Crambidae,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Depressariidae,2,17,11.7647058823529
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Euteliidae,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Geometridae,2,17,11.7647058823529
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Limoniidae,2,17,11.7647058823529
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Pyralidae,1,17,5.88235294117647
PTPE,ESCAMECCA_GRANDE_HOT_SPRINGS,Tineidae,1,17,5.88235294117647
