CommonName,LinneanName,Database
,Abagrotis glenni,CanadaNR
,Acalitus rudis,CanadaNR
,Acantholyda balanata,CanadaNR
,Acantholyda erythrocephala,CanadaNR
,Acantholyda verticalis,CanadaNR
,Aceria elongatus,CanadaNR
,Aceria parapopuli,CanadaNR
,Acericecis ocellaris,CanadaNR
,Acleris gloverana,CanadaNR
,Acleris variana,CanadaNR
,Acossus centerensis,CanadaNR
,Acossus populi,CanadaNR
,Adelges abietis,CanadaNR
,Adelges cooleyi,CanadaNR
,Adelges piceae,CanadaNR
,Agrilus anxius,CanadaNR
,Agrilus bilineatus,CanadaNR
,Agrilus planipennis,CanadaNR
,Alsophila pometaria,CanadaNR
,Amphibolips quercusinanis,CanadaNR
,Anatis mali,CanadaNR
,Anoplonyx laricivorus,CanadaNR
,Anoplonyx luteipes,CanadaNR
,Anoplonyx occidens,CanadaNR
,Anoplophora glabripennis,CanadaNR
,Aphis sp.,CanadaNR
,Aphrophora cribrata,CanadaNR
,Archips cerasivorana,CanadaNR
,Archips tsugana,CanadaNR
,Arge pectoralis,CanadaNR
,Argyresthia cupressella,CanadaNR
,Argyresthia thuiella,CanadaNR
,Argyrotaenia citrana,CanadaNR
,Argyrotaenia dorsalana,CanadaNR
,Bucculatrix canadensisella,CanadaNR
,Buprestis aurulenta,CanadaNR
,Caliroa cerasi,CanadaNR
,Callophrys eryphon,CanadaNR
,Callophrys grynea barryi,CanadaNR
,Callophrys grynea rosneri,CanadaNR
,Caloptilia syringella,CanadaNR
,Cameraria aceriella,CanadaNR
,Camponotus sp.,CanadaNR
,Caripeta aequaliaria,CanadaNR
,Caripeta divisata,CanadaNR
,Carulaspis juniperi,CanadaNR
,Cecidomyia resinicola,CanadaNR
,Cephalcia californica,CanadaNR
,Cephalcia fascipennis,CanadaNR
,Chionaspis pinifoliae,CanadaNR
,Chionodes continuella,CanadaNR
,Choristoneura biennis,CanadaNR
,Choristoneura conflictana,CanadaNR
,Choristoneura fumiferana,CanadaNR
,Choristoneura lambertiana,CanadaNR
,Choristoneura occidentalis,CanadaNR
,Choristoneura pinus,CanadaNR
,Cladara limitaria,CanadaNR
,Clepsis persicana,CanadaNR
,Coccinella sp.,CanadaNR
,Coleophora laricella,CanadaNR
,Coleophora serratella,CanadaNR
,Coleotechnites atrupictella,CanadaNR
,Coleotechnites piceaella,CanadaNR
,Coleotechnites thujaella,CanadaNR
,Conophthorus resinosae,CanadaNR
,Contarinia baeri,CanadaNR
,Cosmia elisae,CanadaNR
,Croesia semipurpurana,CanadaNR
,Cryptococcus fagisuga,CanadaNR
,Cryptorhynchus lapathi,CanadaNR
,Crypturgus pusillus,CanadaNR
,Cydia strobilella,CanadaNR
,Dasychira grisefacta,CanadaNR
,Dendroctonus ponderosae,CanadaNR
,Dendroctonus pseudotsugae,CanadaNR
,Dendroctonus rufipennis,CanadaNR
,Dendroctonus simplex,CanadaNR
,Dichomeris marginella,CanadaNR
,Digrammia setonana,CanadaNR
,Digrammia triviata,CanadaNR
,Dioryctria abietivorella,CanadaNR
,Dioryctria pseudotsugella,CanadaNR
,Dioryctria reniculelloides,CanadaNR
,Diprion similis,CanadaNR
,Ditula angustiorana,CanadaNR
,Dolichomia thymetusalis,CanadaNR
,Dryocampa rubicunda,CanadaNR
,Dryocoetes confusus,CanadaNR
,Ectropis crepuscularia,CanadaNR
,Egira hiemalis,CanadaNR
,Egira simplex,CanadaNR
,Elatobium abietinum,CanadaNR
,Enargia decolor,CanadaNR
,Enoclerus nigripes rufiventris,CanadaNR
,Enypia griseata,CanadaNR
,Enypia packardata,CanadaNR
,Enypia venata,CanadaNR
